time,beta,alpha,theta,delta,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
5201.000000,1615.667940,858.223057,3737.513580,19354.188458,6.407290,9.844874,10.338390,189.884369,5.492215,5.732381,8.005836,9.991514,11.506923,9.996078,8.568838,6.138325,5.346195,9.730385,9.285130,5.625442
5201.500000,314.581509,114.320663,446.304085,3891.170885,4.327364,5.823340,5.341272,109.817604,3.581986,4.302749,4.215682,5.096611,4.400096,4.089187,4.147677,3.185319,3.452250,3.255213,3.404596,2.885304
5202.000000,144.656549,68.027186,177.158890,1708.622575,5.499315,7.087288,6.746889,160.630569,4.316714,5.934865,5.782565,6.591181,6.877823,6.927689,5.515182,4.141155,5.345185,5.896347,6.094487,4.665981
5202.500000,331.989446,199.960775,121.471456,622.480911,5.261377,9.344515,9.549135,342.832489,5.370564,6.147614,8.068309,9.186731,9.699575,9.079573,7.121269,4.866993,7.013110,8.952104,9.402149,6.262753
5203.000000,245.216982,78.877848,100.707454,416.693640,6.133670,8.949551,8.815429,194.097351,4.364494,6.054293,7.153489,8.564141,7.314320,6.872791,4.961740,3.642107,6.924922,6.993750,6.246285,4.216092
5203.500000,266.572485,96.968767,163.443640,806.816454,3.198772,6.936589,6.823388,287.239075,4.560619,5.169639,4.861069,6.693491,6.242719,6.880813,5.585438,4.938962,5.552575,5.401148,5.864319,4.890328
5204.000000,891.470637,643.003486,744.517341,1673.796173,4.982017,8.819555,9.899395,224.817032,5.765305,5.781469,5.424172,8.202835,9.608732,8.160788,5.670738,4.515155,6.694523,6.079641,6.502040,5.126063
5204.500000,2075.628606,1151.101002,1953.021326,898.141913,20.657722,45.176517,50.127590,264.889343,26.274343,19.735737,31.910597,42.322430,45.633881,42.122906,35.694027,24.915823,16.925415,35.476204,34.880535,18.947573
5205.000000,413.199385,178.260051,221.981067,901.416103,35.169624,50.315434,50.477734,327.987946,33.513378,31.402403,39.431087,44.144958,42.624344,41.735371,37.885292,29.160561,25.257820,39.057060,35.098915,20.605366
5205.500000,173.862812,9.812537,60.869286,184.240998,25.495602,41.533337,42.491138,247.097458,27.399073,24.152977,29.455362,34.107182,31.137476,31.815750,29.251686,23.383160,19.893818,27.551617,24.750751,16.476500
5206.000000,165.905771,30.001182,18.145054,54.292914,21.451777,34.236320,33.859825,151.143982,22.273386,20.122145,27.197514,30.054169,27.244749,26.617193,23.753176,17.436914,17.045225,25.633190,22.347551,12.414725
5206.500000,286.202596,48.656864,70.353898,226.119668,12.948524,18.959084,18.351055,218.749329,13.122582,11.251368,16.150909,17.588787,16.081570,15.887187,14.864605,11.255734,9.527790,16.816181,15.312975,9.786622
5207.000000,373.282450,94.308650,143.341947,409.901821,13.021623,22.455257,21.981983,173.806900,13.693561,12.920067,19.007898,20.908421,19.043964,18.349701,15.337743,11.301936,12.512564,18.832241,15.568019,10.729681
5207.500000,876.320427,724.647544,1001.543543,18215.052944,18.852448,29.816647,26.870285,159.401855,10.449623,19.925425,28.148834,27.923281,24.331284,21.751844,17.244539,11.033211,18.613832,25.631302,20.840334,11.930179
5208.000000,719.125072,227.542205,331.354183,4232.575078,14.513503,18.747751,19.423168,87.936111,11.957172,12.855443,18.049721,19.901674,21.095316,19.458269,16.550821,12.267613,12.890005,22.322170,21.417871,13.671449
5208.500000,222.033056,116.316997,155.357014,8472.287696,8.004569,7.491335,7.848042,174.461761,8.937531,6.827160,6.658435,8.907377,10.886142,8.952019,8.263275,6.807293,6.778012,11.394923,12.588720,7.627254
5209.000000,363.692677,149.806329,233.507836,4109.882099,10.013997,13.722019,14.464038,107.549797,10.128132,8.348616,10.379077,12.224998,12.335838,11.766605,10.177010,7.943746,6.832408,9.840566,9.167023,4.761568
5209.500000,879.557555,78.893064,43.762483,3423.815829,10.105722,10.239538,9.909413,81.786316,7.277001,8.862446,9.605809,9.173127,7.542986,7.217939,6.600729,5.481812,8.173225,8.497805,5.932168,3.314177
5210.000000,378.223185,106.218854,142.025805,2171.485514,6.402930,9.555977,9.929925,180.840683,7.019415,6.206269,7.900740,9.467146,10.427794,10.022291,9.921014,7.433263,6.119387,8.267486,9.336549,6.559825
5210.500000,1657.642815,695.314776,621.388487,4072.096926,5.872539,9.008094,9.614799,193.625824,5.789299,6.240954,6.605919,9.351028,10.667729,9.344625,8.177444,6.376550,6.887253,9.167781,9.515162,5.852877
5211.000000,525.382717,215.842858,690.820376,11713.615327,5.825925,9.798249,10.467018,108.482773,7.043508,6.324515,9.040254,11.381512,12.315494,10.594500,9.444551,6.767464,6.174361,11.068622,9.955922,5.752296
5211.500000,317.947594,103.376422,244.161317,4567.708491,8.848088,12.096878,11.973122,96.874695,6.816302,8.943530,10.480635,11.587951,11.697937,10.567272,8.794636,6.474934,8.044057,10.351732,9.287507,5.409472
5212.000000,294.444731,103.463491,174.580293,648.976805,10.783881,10.075030,8.985918,106.120209,4.218317,8.523132,8.435614,8.839954,8.679544,6.870291,5.947332,3.576003,7.898364,8.075710,5.895715,3.936483
